,Year,State,Coal,Geothermal,Hydroelectric,Natural Gas,Nuclear,Other,Other Gases,Petroleum,Solar Thermal/PV,Total,Wind,Biomass
246,1994,TN,53708548,0,12027959,304278,11932352,111676,3030,312128,0,78334957,0,527967
247,1994,TX,125145657,0,1530436,144440568,28745474,239260,3539454,1959891,293,307179524,0,1578491
248,1994,UT,33130664,194804,750438,807259,0,0,280569,33100,0,35196834,0,0
249,1994,VA,26590655,0,1146116,4681139,25428856,3291,0,2890191,11,62048924,0,2050900
250,1994,VT,0,0,1038653,5806,4315544,0,0,6354,0,5617030,0,250673
251,1994,WA,9831332,0,65575487,4820582,6739749,31282,299161,45419,0,88586476,0,1243464
252,1994,WI,36479019,0,2228309,604655,11516469,0,0,429663,0,52358955,0,1100840
253,1994,WV,79628566,0,1145635,170539,0,204,212708,271890,0,81429542,0,0
254,1994,WY,41574239,0,897209,400856,0,54746,3224,53571,0,43002285,0,18440
255,1995,AK,528930,0,1372115,3379573,0,0,0,620564,0,6026116,0,124934
256,1995,AL,69047634,0,9501510,1533384,20752341,0,347027,201538,0,105189366,0,3805932
257,1995,AR,21555436,0,3217714,3909350,11657549,3651,0,67654,0,41972088,0,1560734
258,1995,AZ,31951659,0,8288419,2192947,26984507,0,0,82557,0,69780939,0,90821
259,1995,CA,2786844,11450299,48033130,72578893,30245936,15796,2594985,2291128,496565,181463341,3086757,5376343
260,1995,CO,30492682,0,2131189,2856788,0,0,0,11712,0,35617234,0,32910
261,1995,CT,3857555,0,363803,3019243,18748900,0,79,3579463,0,31472468,0,1915839
262,1995,DC,0,0,0,0,0,0,0,188862,0,188862,0,0
263,1995,DE,4438974,0,0,3185559,0,9282,113827,1285195,0,9032837,0,0
264,1995,FL,65761841,0,230840,42755150,28740617,2026987,31478,22287501,0,167414372,0,5579958
265,1995,GA,66942360,0,4196741,1459884,30660626,0,0,849860,0,107878596,0,3231663
266,1995,HI,1561204,234521,97810,0,0,2119,69307,7678995,0,10303983,20357,639670
267,1995,IA,29409704,0,1002974,479889,3729970,0,0,65861,0,34752928,117,64413
268,1995,ID,47527,0,10989334,167292,0,90280,0,564,0,11844605,0,549608
269,1995,IL,64415830,0,123936,3974378,78480848,0,396906,922504,0,148657931,0,343529
270,1995,IN,104688066,0,467261,1453563,0,0,2120995,342621,0,109156846,0,84340
271,1995,KS,25896959,0,11214,2374465,10062177,0,0,75864,0,38420705,26,0
272,1995,KY,82539467,0,3423478,68035,0,0,0,130598,0,86165836,0,4258
273,1995,LA,18989474,0,952144,43217747,15685900,600648,982181,1486214,0,84559724,0,2645416
274,1995,MA,10698263,0,868649,14235010,4485845,0,0,6151495,0,37654481,0,2021422
275,1995,MD,27595256,0,1442006,1548884,12937971,0,685721,1479469,0,46365643,0,676336
276,1995,ME,540591,0,3353912,7219,197577,0,5290,2032232,0,9763051,0,3626230
277,1995,MI,67200645,0,1597186,11574854,24448397,15286,1430,855254,0,107444612,0,2483380
278,1995,MN,28063939,0,1098125,1030407,13243469,0,0,494826,0,45170884,56997,1183121
279,1995,MO,53860420,0,1918507,1043440,8241833,0,0,696261,0,65720958,0,25478
280,1995,MS,9324952,0,0,9721170,8013321,0,0,37780,0,28980861,0,1883638
281,1995,MT,14934147,0,10745853,48738,0,0,8678,168054,0,25961314,0,55844
282,1995,NC,61484998,0,5520810,771688,35910195,259130,0,479618,0,106294656,0,1700900
283,1995,ND,26423871,0,2457401,-348,0,0,43673,57691,0,29004247,0,21959
284,1995,NE,16104419,0,1426058,245428,7485448,0,0,26679,0,25304300,0,16268
285,1995,NH,3367488,0,1369890,201304,8379376,0,0,1064756,0,15434379,0,1051565
286,1995,NJ,7165980,0,10955,18202521,16805517,0,64073,1722288,0,45098658,0,1221856
287,1995,NM,26121447,0,263920,3408993,0,0,0,27746,0,29831159,0,9053
288,1995,NV,13971824,1553696,1941534,6443753,0,26634,0,26553,0,23963994,0,0
289,1995,NY,22288913,0,25993197,49056506,26336172,0,96673,8268290,0,133413281,0,2535543
290,1995,OH,120629428,0,232221,724821,16768050,0,139069,330064,0,139343902,0,520249
291,1995,OK,32785062,0,2779920,16715507,0,0,65000,98685,0,52667367,0,287856
292,1995,OR,1552491,0,40764465,2353475,0,0,0,5027,0,45265553,0,590095
293,1995,PA,106334647,0,2030207,4926183,66461535,45280,781665,3647599,0,185451311,0,2464348
294,1995,RI,0,0,9169,4322242,0,0,0,77073,0,4488213,0,79729
295,1995,SC,26337190,0,3457143,689882,49173476,0,9254,257440,0,80913648,0,1647158
296,1995,SD,2721295,0,6009871,63139,0,0,0,17488,0,8811793,0,0
